state,year,quarter,level,name,type,count,amount
india,2018,1,state,maharashtra,TOTAL,16387034,21711613257.725674
india,2018,1,state,uttar pradesh,TOTAL,12537805,13939970923.223106
india,2018,1,state,karnataka,TOTAL,12016899,19217895314.012802
india,2018,1,state,west bengal,TOTAL,11710225,10625978552.140453
india,2018,1,state,andhra pradesh,TOTAL,9039585,11996276391.823706
india,2018,1,state,telangana,TOTAL,8522766,13308204118.542435
india,2018,1,state,madhya pradesh,TOTAL,8025395,8681603403.446348
india,2018,1,state,rajasthan,TOTAL,7591690,8926293130.72684
india,2018,1,state,delhi,TOTAL,7122754,11211503806.91996
india,2018,1,state,tamil nadu,TOTAL,6726622,11261557697.516891
india,2018,1,district,bengaluru urban,TOTAL,8306513,14162750303.06484
india,2018,1,district,pune,TOTAL,3842929,5378982326.835919
india,2018,1,district,central delhi,TOTAL,2997714,4312145216.274474
india,2018,1,district,mumbai,TOTAL,2671029,3923116793.952079
india,2018,1,district,chennai,TOTAL,2656230,4281137762.522443
india,2018,1,district,hyderabad,TOTAL,2545507,4287223789.76588
india,2018,1,district,jaipur,TOTAL,2417174,2953086960.1413727
india,2018,1,district,birbhum,TOTAL,2125816,2520486412.452376
india,2018,1,district,kolkata,TOTAL,2043129,2753347660.1429114
india,2018,1,district,bhopal,TOTAL,1704495,1905473874.8326716
india,2018,1,pincode,560001,TOTAL,2917356,4684262246.184548
india,2018,1,pincode,110006,TOTAL,2636324,3714139312.238586
india,2018,1,pincode,400008,TOTAL,2227885,3105208723.475169
india,2018,1,pincode,600003,TOTAL,2010196,2997847000.265506
india,2018,1,pincode,731101,TOTAL,1764956,2366771285.7278423
india,2018,1,pincode,700009,TOTAL,1390629,1851145374.4001179
india,2018,1,pincode,411001,TOTAL,1055656,1413523605.5956619
india,2018,1,pincode,500012,TOTAL,933013,1643061976.4262943
india,2018,1,pincode,462001,TOTAL,832846,898730606.684653
india,2018,1,pincode,201301,TOTAL,690196,987613438.9540119
india,2018,2,state,maharashtra,TOTAL,22285740,36357057241.12254
india,2018,2,state,west bengal,TOTAL,18082446,18629183470.204285
india,2018,2,state,uttar pradesh,TOTAL,17710943,25720201695.701435
india,2018,2,state,karnataka,TOTAL,17116447,33515580081.29709
india,2018,2,state,andhra pradesh,TOTAL,12353918,22883914272.633617
india,2018,2,state,telangana,TOTAL,10764670,23017201517.652737
india,2018,2,state,madhya pradesh,TOTAL,10561412,15924081066.680984
india,2018,2,state,tamil nadu,TOTAL,9992128,20125844276.267662
india,2018,2,state,rajasthan,TOTAL,9973697,15559086175.759623
india,2018,2,state,delhi,TOTAL,9373723,17446299902.205147
india,2018,2,district,bengaluru urban,TOTAL,11916035,23824727965.49048
india,2018,2,district,pune,TOTAL,5162876,8513428062.925206
india,2018,2,district,chennai,TOTAL,3719593,7305357440.752291
india,2018,2,district,central delhi,TOTAL,3589206,6223466821.092629
india,2018,2,district,mumbai,TOTAL,3277612,6048515205.760132
india,2018,2,district,jaipur,TOTAL,3175255,4952882923.415596
india,2018,2,district,hyderabad,TOTAL,3156805,6628159910.681627
india,2018,2,district,birbhum,TOTAL,2775489,3988930679.767912
india,2018,2,district,kolkata,TOTAL,2501448,4109821729.8900533
india,2018,2,district,north twenty four parganas,TOTAL,2119664,2509379355.091834
india,2018,2,pincode,560001,TOTAL,3777086,7545089760.607167
india,2018,2,pincode,110006,TOTAL,3069733,5237594871.124264
india,2018,2,pincode,600003,TOTAL,2771900,5194488793.022476
india,2018,2,pincode,400008,TOTAL,2631405,4703762207.003538
india,2018,2,pincode,731101,TOTAL,2134258,3697928407.603048
india,2018,2,pincode,700009,TOTAL,1473202,2566583723.725673
india,2018,2,pincode,411001,TOTAL,1316115,2145613783.5507011
india,2018,2,pincode,500012,TOTAL,1024336,2257038218.1929708
india,2018,2,pincode,201301,TOTAL,971854,1673280979.3831716
india,2018,2,pincode,462001,TOTAL,928983,1443626493.1959715
india,2018,3,state,west bengal,TOTAL,53705416,41843934183.177635
india,2018,3,state,maharashtra,TOTAL,31538538,52260817733.24835
india,2018,3,state,odisha,TOTAL,30052155,23094515775.585762
india,2018,3,state,uttar pradesh,TOTAL,26515356,37012114369.23937
india,2018,3,state,karnataka,TOTAL,25980261,48225091755.80772
india,2018,3,state,andhra pradesh,TOTAL,25626061,35718044599.21416
india,2018,3,state,telangana,TOTAL,19332703,32030093209.72354
india,2018,3,state,delhi,TOTAL,18547048,27375846860.618515
india,2018,3,state,madhya pradesh,TOTAL,17126985,24149742204.673225
india,2018,3,state,tamil nadu,TOTAL,15774078,29330092241.18405
india,2018,3,district,bengaluru urban,TOTAL,18405424,33812835282.27632
india,2018,3,district,central delhi,TOTAL,8165361,10515884583.426525
india,2018,3,district,pune,TOTAL,7890491,12601613622.467594
india,2018,3,district,birbhum,TOTAL,6066238,6130627463.516832
india,2018,3,district,chennai,TOTAL,5887343,10122319547.137985
india,2018,3,district,hyderabad,TOTAL,5786941,9503554478.108147
india,2018,3,district,khordha,TOTAL,5333443,4389717266.977921
india,2018,3,district,bankura,TOTAL,5179457,2464193070.534754
india,2018,3,district,jaipur,TOTAL,4954443,7882149494.55468
india,2018,3,district,north twenty four parganas,TOTAL,4856114,4545902671.152222
india,2018,3,pincode,110006,TOTAL,7198882,9029499185.157822
india,2018,3,pincode,560001,TOTAL,5764203,10161197002.295376
india,2018,3,pincode,600003,TOTAL,4430587,7070098756.153783
india,2018,3,pincode,400008,TOTAL,3111609,5436005565.19679
india,2018,3,pincode,731101,TOTAL,2644866,4429377129.783087
india,2018,3,pincode,700009,TOTAL,2531420,3555553312.5767612
india,2018,3,pincode,500012,TOTAL,1726388,3077635699.337487
india,2018,3,pincode,411001,TOTAL,1689517,2829639683.4067717
india,2018,3,pincode,221001,TOTAL,1439623,671779876.5266988
india,2018,3,pincode,201301,TOTAL,1438458,2181626866.4046803
india,2018,4,state,maharashtra,TOTAL,46090223,79518937047.82959
india,2018,4,state,karnataka,TOTAL,44812071,73008386576.05942
india,2018,4,state,west bengal,TOTAL,36513548,40489619211.70402
india,2018,4,state,uttar pradesh,TOTAL,36100767,55096743575.91497
india,2018,4,state,andhra pradesh,TOTAL,30759548,51473779406.84041
india,2018,4,state,delhi,TOTAL,29187719,39722857618.706436
india,2018,4,state,telangana,TOTAL,28921154,49509088448.04927
india,2018,4,state,tamil nadu,TOTAL,22457444,43302073975.890976
india,2018,4,state,madhya pradesh,TOTAL,21397555,33905608072.964783
india,2018,4,state,odisha,TOTAL,21142798,23429869571.55922
india,2018,4,district,bengaluru urban,TOTAL,33061353,50279165003.07312
india,2018,4,district,pune,TOTAL,11075153,18048884123.019886
india,2018,4,district,central delhi,TOTAL,9373395,13878492766.290386
india,2018,4,district,hyderabad,TOTAL,9360515,14727846731.548256
india,2018,4,district,chennai,TOTAL,8007699,14632395110.56675
india,2018,4,district,jaipur,TOTAL,7271209,12107341570.492035
india,2018,4,district,gautam buddha nagar,TOTAL,6083056,7483532543.63562
india,2018,4,district,mumbai,TOTAL,6060284,11506143747.453331
india,2018,4,district,rangareddy,TOTAL,5803319,9396311751.227482
india,2018,4,district,kolkata,TOTAL,5401244,8502095208.881001
india,2018,4,pincode,560001,TOTAL,7725284,14030425393.295612
india,2018,4,pincode,110006,TOTAL,7532374,11605568511.039162
india,2018,4,pincode,600003,TOTAL,5539392,10066365923.24963
india,2018,4,pincode,400008,TOTAL,4586309,8474903607.1238575
india,2018,4,pincode,731101,TOTAL,3284268,5847016363.011223
india,2018,4,pincode,700009,TOTAL,2939284,4991163446.523161
india,2018,4,pincode,500012,TOTAL,2576408,4841883809.168822
india,2018,4,pincode,201301,TOTAL,2504916,3217987818.841588
india,2018,4,pincode,411001,TOTAL,2176631,3917444399.4306126
india,2018,4,pincode,560068,TOTAL,1630650,1941175277.185885
india,2019,1,state,karnataka,TOTAL,86587609,117976382145.74966
india,2019,1,state,maharashtra,TOTAL,75079069,111420690920.33997
india,2019,1,state,telangana,TOTAL,65290702,95523262035.66321
india,2019,1,state,uttar pradesh,TOTAL,57324504,76524180134.0167
india,2019,1,state,andhra pradesh,TOTAL,57264522,83760595917.0792
india,2019,1,state,west bengal,TOTAL,47626388,50164672623.8785
india,2019,1,state,delhi,TOTAL,47007327,58469131789.49733
india,2019,1,state,rajasthan,TOTAL,43956040,61141158575.55252
india,2019,1,state,madhya pradesh,TOTAL,37301049,48070279522.042015
india,2019,1,state,odisha,TOTAL,34031942,35427127930.698456
india,2019,1,district,bengaluru urban,TOTAL,65174133,82111161572.76288
india,2019,1,district,hyderabad,TOTAL,24838664,34892156029.40753
india,2019,1,district,pune,TOTAL,23360634,32233517413.825317
india,2019,1,district,jaipur,TOTAL,19178441,25043540802.372772
india,2019,1,district,rangareddy,TOTAL,12952050,17677048557.63253
india,2019,1,district,central delhi,TOTAL,12885975,16258175800.83931
india,2019,1,district,chennai,TOTAL,11642449,18810971714.51368
india,2019,1,district,gautam buddha nagar,TOTAL,10750094,10286434896.5461
india,2019,1,district,medchal malkajgiri,TOTAL,10127087,13392043971.075241
india,2019,1,district,new delhi,TOTAL,10000765,13939472234.96883
india,2019,1,pincode,560001,TOTAL,16241340,23597361226.512825
india,2019,1,pincode,110006,TOTAL,10251048,13201959766.05106
india,2019,1,pincode,500012,TOTAL,9957548,15399177052.931395
india,2019,1,pincode,600003,TOTAL,8217185,12799152324.27052
india,2019,1,pincode,110011,TOTAL,6689740,9632804730.117004
india,2019,1,pincode,400008,TOTAL,6494529,10238553958.763014
india,2019,1,pincode,700009,TOTAL,6353573,7885002278.529919
india,2019,1,pincode,411006,TOTAL,5641935,9202990658.018358
india,2019,1,pincode,302001,TOTAL,4954219,7600396570.221162
india,2019,1,pincode,201301,TOTAL,4596696,4223121104.413077
india,2019,2,state,karnataka,TOTAL,115401604,163702024226.0841
india,2019,2,state,maharashtra,TOTAL,101149853,153294470088.05945
india,2019,2,state,telangana,TOTAL,89610379,155676443182.43457
india,2019,2,state,uttar pradesh,TOTAL,58883500,98917519370.67831
india,2019,2,state,delhi,TOTAL,57171512,81706816063.62862
india,2019,2,state,andhra pradesh,TOTAL,56409015,113634518758.22931
india,2019,2,state,rajasthan,TOTAL,50009286,89107313172.66756
india,2019,2,state,west bengal,TOTAL,47023535,57105691119.11844
india,2019,2,state,madhya pradesh,TOTAL,40846013,68334566380.56182
india,2019,2,state,tamil nadu,TOTAL,32171737,64207676025.75553
india,2019,2,district,bengaluru urban,TOTAL,89148659,113389910485.89922
india,2019,2,district,pune,TOTAL,44795652,58398808592.1738
india,2019,2,district,hyderabad,TOTAL,43511186,73949377453.0185
india,2019,2,district,jaipur,TOTAL,27449382,46056907216.76753
india,2019,2,district,new delhi,TOTAL,23313548,36146671717.918365
india,2019,2,district,rangareddy,TOTAL,16348519,25359412038.382965
india,2019,2,district,patna,TOTAL,13421445,26125484618.416542
india,2019,2,district,khordha,TOTAL,13339889,19006076643.493904
india,2019,2,district,kolkata,TOTAL,13259522,17260848900.77318
india,2019,2,district,lucknow,TOTAL,12624404,22426462674.94428
india,2019,2,pincode,560001,TOTAL,27169035,40026681539.0066
india,2019,2,pincode,500012,TOTAL,23303184,42709920754.79193
india,2019,2,pincode,411006,TOTAL,22544991,34073354893.758354
india,2019,2,pincode,110011,TOTAL,20001452,31366326747.68567
india,2019,2,pincode,302001,TOTAL,14130072,26047079270.71371
india,2019,2,pincode,700009,TOTAL,9694969,12068405239.946836
india,2019,2,pincode,800015,TOTAL,9362673,19331794343.882797
india,2019,2,pincode,226004,TOTAL,8966947,16438621373.818607
india,2019,2,pincode,751002,TOTAL,8318660,12733845249.989027
india,2019,2,pincode,600003,TOTAL,6992850,13700604318.48539
india,2019,3,state,karnataka,TOTAL,170733735,214536720438.18292
